date,korea,other,whole,KOSPI
20091022,0.525,0.475,115840,1630.33
20091023,0.695,0.305,179450,1640.17
20091026,0.688,0.312,449611,1657.11
20091027,0.679,0.321,142347,1649.53
20091028,0.688,0.312,146069,1609.71
20091029,0.571,0.429,161240,1585.85
20091030,0.532,0.468,171024,1580.69
20091102,0.549,0.451,443742,1559.09
20091103,0.525,0.475,130287,1549.92
20091104,0.518,0.482,128195,1579.93
20091105,0.485,0.515,126724,1552.24
20091106,0.705,0.295,142387,1572.46
20091109,0.701,0.299,394726,1576.79
20091110,0.694,0.306,111501,1582.3
20091111,0.693,0.307,110913,1594.82
20091112,0.838,0.162,226914,1572.73
20091113,0.286,0.714,447012,1571.99
20091116,0.307,0.693,761797,1592.47
20091117,0.315,0.685,248095,1585.98
20091118,0.32,0.68,245491,1603.97
20091119,0.343,0.657,239007,1620.54
20091120,0.408,0.592,254712,1620.6
20091123,0.339,0.661,680672,1619.05
20091124,0.425,0.575,209130,1606.42
20091125,0.424,0.576,210576,1611.88
20091126,0.425,0.575,210952,1599.52
20091127,0.318,0.682,284011,1524.5
20091130,0.31,0.69,700404,1555.6
20091202,0.395,0.605,215096,1591.63
20091203,0.216,0.784,281591,1615
20091204,0.31,0.69,301150,1624.76
20091207,0.293,0.707,701171,1632.65
20091208,0.361,0.639,227070,1627.78
20091209,0.397,0.603,214988,1634.17
20091210,0.402,0.598,209489,1652.73
20091211,0.382,0.618,279585,1656.9
20091214,0.304,0.696,641326,1664.77
20091215,0.413,0.587,205615,1665.85
20091216,0.4,0.6,228615,1664.24
20091217,0.294,0.706,263289,1647.84
20091218,0.173,0.827,333812,1647.04
20091221,0.109,0.891,880576,1644.23
20091222,0.151,0.849,309940,1655.54
20091223,0.244,0.756,331492,1661.35
20091224,0.344,0.656,458601,1682.34
20091228,0.319,0.681,1037257,1685.59
20091229,0.323,0.677,461488,1672.48
20091230,0.332,0.668,477826,1682.77
20100104,0.285,0.715,1005985,1696.14
20100105,0.287,0.713,337010,1690.62
20100106,0.286,0.714,330074,1705.32
20100107,0.288,0.713,304682,1683.45
20100108,0.377,0.623,336122,1695.26
20100111,0.374,0.626,901892,1694.12
20100112,0.378,0.622,306256,1698.64
20100113,0.376,0.624,309165,1671.41
20100114,0.347,0.653,290944,1685.77
20100115,0.404,0.596,308158,1701.8
20100118,0.397,0.603,811084,1711.78
20100119,0.399,0.601,270795,1710.22
20100120,0.401,0.599,270396,1714.38
20100121,0.418,0.582,267834,1722.01
20100122,0.449,0.551,295123,1684.35
20100125,0.421,0.579,757074,1670.2
20100126,0.39,0.61,268590,1637.34
20100127,0.393,0.607,276193,1625.48
20100128,0.384,0.616,253084,1642.43
20100129,0.584,0.416,354500,1602.43
20100202,0.585,0.415,269470,1595.81
20100203,0.6,0.4,259652,1615.02
20100204,0.606,0.394,246370,1616.42
20100205,0.756,0.244,303046,1567.12
20100208,0.721,0.279,714617,1552.79
20100209,0.775,0.225,238328,1570.49
20100210,0.786,0.214,248659,1570.12
20100211,0.788,0.212,262350,1597.81
